# Δφ_min calculated using parity operator and numerical Heisenberg method
# |ψ_in_1> = |0>|α>
# |ψ_in_2> = |β>|β>
# ------------------------------------------------------------------------------------------------
# alpha      Δφ_min_1                       beta       Δφ_min_2                      
  0.50000000 0.0000032607801001226139469    0.35355339 3.1301571346962959729864906   
  1.00000000 0.0000014451300688408370658    0.70710678 1.7439089556573812433981630   
  1.50000000 0.0000012089123703774630389    1.06066017 1.1595615473695763952832749   
  2.00000000 0.0000006140718312389948627    1.41421356 0.8534042723439696498388685   
  2.50000000 0.0000005293246057842153493    1.76776695 0.6736037779099668387772226   
  3.00000000 0.0000005972632999429597912    2.12132034 0.5696295023684133651542538   
  3.50000000 0.0000004790406929061569081    2.47487373 0.5032745043596759115800410   
  4.00000000 0.0000005464424560308251471    2.82842712 0.4214946197820375051179553   
  4.50000000 0.0000000169538876557206013    3.18198052 0.3686838578987997605551641   
  5.00000000 0.0000000258062431816792243    3.53553391 0.3345818738740963249611582   
