# Δφ_min calculated using number operator and symbolic Heisenberg method
# |ψ_in_1> = |0>|α>
# |ψ_in_2> = |β>|β>
# ------------------------------------------------------------------------------------------------
# alpha      Δφ_min_1                       beta       Δφ_min_2                      
  2.00000000 0.5000000000044426684553400    1.41421356 0.4999999999112406667833852   
  2.50000000 0.3999999999951450169177747    1.76776695 0.3999999998950280466480933   
  3.00000000 0.3333333333260861119917706    2.12132034 0.3333333332345423394293960   
  3.50000000 0.2857142857092723198242368    2.47487373 0.2857142856137052655540742   
  4.00000000 0.2499999999938201933336046    2.82842712 0.2499999998850274129935656   
  4.50000000 0.2222222222218450393693701    3.18198052 0.2222222221077217174656226   
  5.00000000 0.1999999990657144455230565    3.53553391 0.1999999999041264520105443   
  5.50000000 0.1818177488956238541106813    3.88908730 0.1818181816561634800422098   
  6.00000000 0.1666195350067549707517855    4.24264069 0.1666666664994847224523511   
  6.50000000 0.1524430300828389373002381    4.59619408 0.1538461536740336477180335   
