# Δφ_min calculated using parity operator and numerical Heisenberg method
# |ψ_in_3> = N(|α_1,α_2>+|α_2,α_1>)
# |ψ_in_4> = N(a_1†|α_1,α_2>+a_2†|α_1,α_2>)
# |ψ_in_5> = N(a_1†²|α_1,α_2>+a_2†²|α_1,α_2>)
# ------------------------------------------------------------------------------------------------
# alpha_1    alpha_2     Δφ_min_3                       Δφ_min_4                       Δφ_min_5                      
  0.50000000 -0.50000000 223969837449.7299499511718750000000000 374559315825.8924560546875000000000000 320139066355.7528076171875000000000000
  1.00000000 -1.00000000 391684226272.8780517578125000000000000 307017503102.8374633789062500000000000 163269229878.2762756347656250000000000
  1.50000000 -1.50000000 242931673637.8117370605468750000000000 267472741180.0926208496093750000000000 141799215975.3601989746093750000000000
  2.00000000 -2.00000000 180587485537.4140014648437500000000000 118707104913.9626159667968750000000000 100316570037.7465667724609375000000000
  2.50000000 -2.50000000 149368011524.8279113769531250000000000 124380342376.5324707031250000000000000 81149816138.4228210449218750000000000
  3.00000000 -3.00000000 95239747780.1987762451171875000000000 90835354594.7687988281250000000000000 43456123593.5850296020507812500000000
  3.50000000 -3.50000000 7648625738.1688890457153320312500000 2846131143.0480957031250000000000000 1362951115.1684966087341308593750000
  4.00000000 -4.00000000 789335971.8851673603057861328125000 33641269.1230750083923339843750000 58198046.8063036724925041198730469
  4.50000000 -4.50000000 449594.3160933044273406267166138 26329.1487372989504365250468254 63731.3910420258762314915657043
